Type_Ouvrage,Code_Ligne,Tension,Ville_Depart,Ville_Arrivee,Capacite_MW,Reg_Depart_Code,Reg_Depart,Reg_Arrivee_Code,Reg_Arrivee
AERIEN,BXTO5L61ZRUPR,225kV,RUPREUX,SOISSONS-NOTRE-DAME,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,P.HA5L61TREGU,225kV,PLAINE HAUTE,TREGUEUX,400,53,Bretagne,53,Bretagne
AERIEN,P.HA5L62TREGU,225kV,PLAINE HAUTE,TREGUEUX,400,53,Bretagne,53,Bretagne
AERIEN,CHOLEL61V.SEV,225kV,CHOLET,VAL DE SEVRE,400,52,Pays de la Loire,75,Nouvelle-Aquitaine
AERIEN,BEZONL61P.ROU,225kV,BEZON,POTEAU-ROUGE,400,52,Pays de la Loire,53,Bretagne
AERIEN,PLUVIL61PRINQ,225kV,PLUVIGNER,PRINQUIAU,400,53,Bretagne,52,Pays de la Loire
AERIEN,G.SYNL61HOLQU,225kV,GRANDE-SYNTHE,HOLQUE,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,BLOCAL61LIMEU,225kV,BLOCAUX,LIMEUX,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,CHAFFL71G.ILE,400kV,CHAFFARD,GRANDE-ILE,1500,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,CHAFFL72G.ILE,400kV,CHAFFARD,GRANDE-ILE,1500,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,ESTR6L61MAUBE,225kV,ESTREUX,MAUBEUGE,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,MAUBEL61P.SAM,225kV,MAUBEUGE,PONT-SUR-SAMBRE,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,G.SYNL61WARAN,225kV,GRANDE-SYNTHE,WARANDE,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,G.SYNL62WARAN,225kV,GRANDE-SYNTHE,WARANDE,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,LESQUL71VERFE,400kV,LESQUIVE,VERFEIL,1500,76,Occitanie,76,Occitanie
AERIEN,CPNIEL61GRISO,225kV,CHAMPAGNIER,GRISOLLES,400,84,Auvergne-Rhône-Alpes,76,Occitanie
AERIEN,CIROLL71GATI5,400kV,CIROLLIERS,GATINAIS,1500,11,Île-de-France,24,Centre-Val de Loire
AERIEN,CIROLL72GATI5,400kV,CIROLLIERS,GATINAIS,1500,11,Île-de-France,24,Centre-Val de Loire
AERIEN,CHESNL62CZTRY,225kV,CHESNOY (LE),COURTRY,400,24,Centre-Val de Loire,11,Île-de-France
AERIEN,CHESNL63CZTRY,225kV,CHESNOY (LE),COURTRY,400,24,Centre-Val de Loire,11,Île-de-France
AERIEN,BXTO5L61L.CHA,225kV,BEAUTOR(POSTE),LONG-CHAMP (LE),400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,T.SUPL71ZT.SU,400kV,PRIONNET,TAVEL,1500,76,Occitanie,76,Occitanie
AERIEN,T.SUPL71ZT.SU,400kV,TAVEL,TORE SUPRA,1500,76,Occitanie,76,Occitanie
AERIEN,SIEREL61ZHIRS,225kV,ETUPES,HIRSINGUE,400,27,Bourgogne-Franche-Comté,44,Grand Est
AERIEN,SIEREL61ZHIRS,225kV,HIRSINGUE,SIERENTZ,400,44,Grand Est,44,Grand Est
AERIEN,P.GASL61ZBRI5,225kV,PLESSIS-GASSOT,SEINE,400,11,Île-de-France,11,Île-de-France
AERIEN,P.GASL61ZBRI5,225kV,SEINE,BRICHE (LA),400,11,Île-de-France,11,Île-de-France
AERIEN,P.GASL62ZBRIC,225kV,PLESSIS-GASSOT,SEINE,400,11,Île-de-France,11,Île-de-France
AERIEN,P.GASL62ZBRIC,225kV,SEINE,BRICHE (LA),400,11,Île-de-France,11,Île-de-France
AERIEN,CHALOL61GROSN,225kV,CHALON,GROSNE,400,84,Auvergne-Rhône-Alpes,27,Bourgogne-Franche-Comté
AERIEN,CHALOL62GROSN,225kV,CHALON,GROSNE,400,84,Auvergne-Rhône-Alpes,27,Bourgogne-Franche-Comté
AERIEN,SOLEIL62VOLVO,225kV,SOLEIL (LE),VOLVON,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,JACQUL61SOLEI,225kV,JACQUARD,SOLEIL (LE),400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,SOLEIL62VOLVO,225kV,SOLEIL (LE),VOLVON,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,P.SIML61SSORE,225kV,PORTET-ST-SIMON,ST-ORENS,400,76,Occitanie,76,Occitanie
AERIEN,BEZAUL61C.MET,225kV,BEZAUMONT,CROIX-DE-METZ,400,44,Grand Est,44,Grand Est
AERIEN,AYVELL61LUMES,225kV,AYVELLES (LES),LUMES,400,44,Grand Est,44,Grand Est
AERIEN,MOUL8L62VLEJU,225kV,MOULINEAUX,VILLEJUST,400,28,Normandie,11,Île-de-France
AERIEN,PERTAL61ZTRAN,225kV,MORCHIES,PERTAIN,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,PERTAL61ZTRAN,225kV,PERTAIN,TRANSLOY (LE),400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,GRANDL61PRATC,225kV,GRANDVAL,PRATCLAUX,400,84,Auvergne-Rhône-Alpes,84,Auvergne-Rhône-Alpes
AERIEN,SSAVOL61ZSAR6,225kV,BERGHOLZ,SARREGUEMINES,400,0,Étranger,44,Grand Est
AERIEN,SSAVOL61ZSAR6,225kV,SARREGUEMINES,ST-AVOLD,400,44,Grand Est,44,Grand Est
AERIEN,B.CARL62LINGO,225kV,BROC-CARROS (LE),LINGOSTIERE,400,93,Provence-Alpes-Côte d'Azur,93,Provence-Alpes-Côte d'Azur
AERIEN,NOGENL61ORMES,225kV,NOGENTEL,ORMES,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,ORMESL61VESLE,225kV,ORMES,VESLE,400,32,Hauts-de-France,44,Grand Est
AERIEN,P.BORL61ZLAFI,225kV,BARJAC,PIED-DE-BORNE,400,76,Occitanie,76,Occitanie
AERIEN,P.BORL61ZLAFI,225kV,PIED-DE-BORNE,LAFIGERE,400,76,Occitanie,76,Occitanie
AERIEN,AVELIL72GAVRE,400kV,AVELIN,GAVRELLE,1500,32,Hauts-de-France,32,Hauts-de-France
AERIEN,MADE6L61ZMAD6,225kV,LA MADELEINE,LANEUVEVILLE,400,32,Hauts-de-France,44,Grand Est
AERIEN,MADE6L61ZMAD6,225kV,LANEUVEVILLE,VINCEY,400,44,Grand Est,44,Grand Est
AERIEN,RUMINL62ZRUMI,225kV,ATTAQUES (LES),HOLQUE,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,RUMINL62ZRUMI,225kV,HOLQUE,RUMINGHEM,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,MTGROL61MTPEZ,225kV,MONTGROS,MONTPEZAT,400,84,Auvergne-Rhône-Alpes,76,Occitanie
AERIEN,CARISL61SEREI,225kV,CARISEY,SEREIN,400,27,Bourgogne-Franche-Comté,27,Bourgogne-Franche-Comté
AERIEN,CARISL62SEREI,225kV,CARISEY,SEREIN,400,27,Bourgogne-Franche-Comté,27,Bourgogne-Franche-Comté
AERIEN,REALTL71TAVEL,400kV,REALTOR,TAVEL,1500,93,Provence-Alpes-Côte d'Azur,76,Occitanie
AERIEN,REALTL71TAVEL,400kV,REALTOR,TAVEL,1500,93,Provence-Alpes-Côte d'Azur,76,Occitanie
AERIEN,REALTL72TAVEL,400kV,REALTOR,TAVEL,1500,93,Provence-Alpes-Côte d'Azur,76,Occitanie
AERIEN,PERTAL61ZC.OM,225kV,LATENA,PERTAIN,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,PERTAL61ZC.OM,225kV,PERTAIN,CRESSY-OMENCOURT,400,32,Hauts-de-France,32,Hauts-de-France
AERIEN,MARL6L61REICH,225kV,MARLENHEIM,REICHSTETT,400,44,Grand Est,44,Grand Est
AERIEN,MARL6L62REICH,225kV,MARLENHEIM,REICHSTETT,400,44,Grand Est,44,Grand Est
AERIEN,GOURJL61VERFE,225kV,GOURJADE,VERFEIL,400,76,Occitanie,76,Occitanie
