unit,start_date,value_MW
BUGEY-4,2024-02-04T17:00:00+01:00,874
BUGEY-4,2024-02-04T18:00:00+01:00,874
BUGEY-4,2024-02-04T19:00:00+01:00,873
BUGEY-4,2024-02-04T20:00:00+01:00,873
BUGEY-4,2024-02-04T21:00:00+01:00,874
BUGEY-4,2024-02-04T22:00:00+01:00,874
BUGEY-4,2024-02-04T23:00:00+01:00,874
BUGEY-5,2024-02-04T00:00:00+01:00,898
BUGEY-5,2024-02-04T01:00:00+01:00,898
BUGEY-5,2024-02-04T02:00:00+01:00,898
BUGEY-5,2024-02-04T03:00:00+01:00,897
BUGEY-5,2024-02-04T04:00:00+01:00,897
BUGEY-5,2024-02-04T05:00:00+01:00,898
BUGEY-5,2024-02-04T06:00:00+01:00,897
BUGEY-5,2024-02-04T07:00:00+01:00,897
BUGEY-5,2024-02-04T08:00:00+01:00,898
BUGEY-5,2024-02-04T09:00:00+01:00,897
BUGEY-5,2024-02-04T10:00:00+01:00,898
BUGEY-5,2024-02-04T11:00:00+01:00,897
BUGEY-5,2024-02-04T12:00:00+01:00,897
BUGEY-5,2024-02-04T13:00:00+01:00,897
BUGEY-5,2024-02-04T14:00:00+01:00,897
BUGEY-5,2024-02-04T15:00:00+01:00,897
BUGEY-5,2024-02-04T16:00:00+01:00,897
BUGEY-5,2024-02-04T17:00:00+01:00,897
BUGEY-5,2024-02-04T18:00:00+01:00,897
BUGEY-5,2024-02-04T19:00:00+01:00,898
BUGEY-5,2024-02-04T20:00:00+01:00,898
BUGEY-5,2024-02-04T21:00:00+01:00,897
BUGEY-5,2024-02-04T22:00:00+01:00,897
BUGEY-5,2024-02-04T23:00:00+01:00,897
GRAVELINES-1,2024-02-04T00:00:00+01:00,905
GRAVELINES-1,2024-02-04T01:00:00+01:00,905
GRAVELINES-1,2024-02-04T02:00:00+01:00,905
GRAVELINES-1,2024-02-04T03:00:00+01:00,906
GRAVELINES-1,2024-02-04T04:00:00+01:00,906
GRAVELINES-1,2024-02-04T05:00:00+01:00,907
GRAVELINES-1,2024-02-04T06:00:00+01:00,907
GRAVELINES-1,2024-02-04T07:00:00+01:00,907
GRAVELINES-1,2024-02-04T08:00:00+01:00,907
GRAVELINES-1,2024-02-04T09:00:00+01:00,906
GRAVELINES-1,2024-02-04T10:00:00+01:00,906
GRAVELINES-1,2024-02-04T11:00:00+01:00,905
GRAVELINES-1,2024-02-04T12:00:00+01:00,905
GRAVELINES-1,2024-02-04T13:00:00+01:00,905
GRAVELINES-1,2024-02-04T14:00:00+01:00,905
GRAVELINES-1,2024-02-04T15:00:00+01:00,905
GRAVELINES-1,2024-02-04T16:00:00+01:00,906
GRAVELINES-1,2024-02-04T17:00:00+01:00,906
GRAVELINES-1,2024-02-04T18:00:00+01:00,907
GRAVELINES-1,2024-02-04T19:00:00+01:00,907
GRAVELINES-1,2024-02-04T20:00:00+01:00,907
GRAVELINES-1,2024-02-04T21:00:00+01:00,907
GRAVELINES-1,2024-02-04T22:00:00+01:00,907
GRAVELINES-1,2024-02-04T23:00:00+01:00,906
GRAVELINES-2,2024-02-04T00:00:00+01:00,-30
GRAVELINES-2,2024-02-04T01:00:00+01:00,-30
GRAVELINES-2,2024-02-04T02:00:00+01:00,-30
GRAVELINES-2,2024-02-04T03:00:00+01:00,-30
GRAVELINES-2,2024-02-04T04:00:00+01:00,-30
GRAVELINES-2,2024-02-04T05:00:00+01:00,-30
GRAVELINES-2,2024-02-04T06:00:00+01:00,-30
GRAVELINES-2,2024-02-04T07:00:00+01:00,-30
GRAVELINES-2,2024-02-04T08:00:00+01:00,-30
GRAVELINES-2,2024-02-04T09:00:00+01:00,-30
GRAVELINES-2,2024-02-04T10:00:00+01:00,-30
GRAVELINES-2,2024-02-04T11:00:00+01:00,-30
GRAVELINES-2,2024-02-04T12:00:00+01:00,-31
GRAVELINES-2,2024-02-04T13:00:00+01:00,-31
GRAVELINES-2,2024-02-04T14:00:00+01:00,-31
GRAVELINES-2,2024-02-04T15:00:00+01:00,-31
GRAVELINES-2,2024-02-04T16:00:00+01:00,-31
GRAVELINES-2,2024-02-04T17:00:00+01:00,-31
GRAVELINES-2,2024-02-04T18:00:00+01:00,-31
GRAVELINES-2,2024-02-04T19:00:00+01:00,-31
GRAVELINES-2,2024-02-04T20:00:00+01:00,-31
GRAVELINES-2,2024-02-04T21:00:00+01:00,-32
GRAVELINES-2,2024-02-04T22:00:00+01:00,-32
GRAVELINES-2,2024-02-04T23:00:00+01:00,-32
GRAVELINES-3,2024-02-04T00:00:00+01:00,911
GRAVELINES-3,2024-02-04T01:00:00+01:00,911
GRAVELINES-3,2024-02-04T02:00:00+01:00,911
GRAVELINES-3,2024-02-04T03:00:00+01:00,911
GRAVELINES-3,2024-02-04T04:00:00+01:00,912
GRAVELINES-3,2024-02-04T05:00:00+01:00,912
GRAVELINES-3,2024-02-04T06:00:00+01:00,912
GRAVELINES-3,2024-02-04T07:00:00+01:00,809
GRAVELINES-3,2024-02-04T08:00:00+01:00,777
GRAVELINES-3,2024-02-04T09:00:00+01:00,822
GRAVELINES-3,2024-02-04T10:00:00+01:00,832
GRAVELINES-3,2024-02-04T11:00:00+01:00,846
GRAVELINES-3,2024-02-04T12:00:00+01:00,833
GRAVELINES-3,2024-02-04T13:00:00+01:00,824
GRAVELINES-3,2024-02-04T14:00:00+01:00,823
GRAVELINES-3,2024-02-04T15:00:00+01:00,826
GRAVELINES-3,2024-02-04T16:00:00+01:00,826
GRAVELINES-3,2024-02-04T17:00:00+01:00,851
GRAVELINES-3,2024-02-04T18:00:00+01:00,833
GRAVELINES-3,2024-02-04T19:00:00+01:00,819
GRAVELINES-3,2024-02-04T20:00:00+01:00,835
GRAVELINES-3,2024-02-04T21:00:00+01:00,834
GRAVELINES-3,2024-02-04T22:00:00+01:00,815
GRAVELINES-3,2024-02-04T23:00:00+01:00,814
DAMPIERRE-1,2024-02-04T00:00:00+01:00,875
DAMPIERRE-1,2024-02-04T01:00:00+01:00,874
DAMPIERRE-1,2024-02-04T02:00:00+01:00,875
DAMPIERRE-1,2024-02-04T03:00:00+01:00,875
DAMPIERRE-1,2024-02-04T04:00:00+01:00,875
DAMPIERRE-1,2024-02-04T05:00:00+01:00,875
DAMPIERRE-1,2024-02-04T06:00:00+01:00,875
DAMPIERRE-1,2024-02-04T07:00:00+01:00,875
DAMPIERRE-1,2024-02-04T08:00:00+01:00,875
DAMPIERRE-1,2024-02-04T09:00:00+01:00,875
DAMPIERRE-1,2024-02-04T10:00:00+01:00,875
DAMPIERRE-1,2024-02-04T11:00:00+01:00,875
DAMPIERRE-1,2024-02-04T12:00:00+01:00,875
DAMPIERRE-1,2024-02-04T13:00:00+01:00,874
DAMPIERRE-1,2024-02-04T14:00:00+01:00,874
DAMPIERRE-1,2024-02-04T15:00:00+01:00,875
DAMPIERRE-1,2024-02-04T16:00:00+01:00,875
DAMPIERRE-1,2024-02-04T17:00:00+01:00,875
DAMPIERRE-1,2024-02-04T18:00:00+01:00,874
DAMPIERRE-1,2024-02-04T19:00:00+01:00,875
DAMPIERRE-1,2024-02-04T20:00:00+01:00,875
DAMPIERRE-1,2024-02-04T21:00:00+01:00,875
DAMPIERRE-1,2024-02-04T22:00:00+01:00,875
DAMPIERRE-1,2024-02-04T23:00:00+01:00,875
DAMPIERRE-2,2024-02-04T00:00:00+01:00,-33
DAMPIERRE-2,2024-02-04T01:00:00+01:00,-33
DAMPIERRE-2,2024-02-04T02:00:00+01:00,-35
DAMPIERRE-2,2024-02-04T03:00:00+01:00,-36
DAMPIERRE-2,2024-02-04T04:00:00+01:00,-37
DAMPIERRE-2,2024-02-04T05:00:00+01:00,-34
DAMPIERRE-2,2024-02-04T06:00:00+01:00,-33
DAMPIERRE-2,2024-02-04T07:00:00+01:00,-33
DAMPIERRE-2,2024-02-04T08:00:00+01:00,-33
DAMPIERRE-2,2024-02-04T09:00:00+01:00,-33
DAMPIERRE-2,2024-02-04T10:00:00+01:00,-27
DAMPIERRE-2,2024-02-04T11:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T12:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T13:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T14:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T15:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T16:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T17:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T18:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T19:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T20:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T21:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T22:00:00+01:00,-23
DAMPIERRE-2,2024-02-04T23:00:00+01:00,-23
TRICASTIN-1,2024-02-04T00:00:00+01:00,840
TRICASTIN-1,2024-02-04T01:00:00+01:00,803
TRICASTIN-1,2024-02-04T02:00:00+01:00,809
TRICASTIN-1,2024-02-04T03:00:00+01:00,559
TRICASTIN-1,2024-02-04T04:00:00+01:00,206
TRICASTIN-1,2024-02-04T05:00:00+01:00,199
TRICASTIN-1,2024-02-04T06:00:00+01:00,238
