datetime,date_only,heures,consommation
2024-05-23 22:30:00,2024-05-23,22:30,45278.0
2024-05-23 23:00:00,2024-05-23,23:00,46392.0
2024-05-23 23:30:00,2024-05-23,23:30,45964.0
2024-06-05 00:00:00,2024-06-05,00:00,44059.0
2024-06-05 00:30:00,2024-06-05,00:30,42562.0
2024-06-05 01:00:00,2024-06-05,01:00,39912.0
2024-06-05 01:30:00,2024-06-05,01:30,39144.0
2024-06-05 02:00:00,2024-06-05,02:00,38476.0
2024-06-05 02:30:00,2024-06-05,02:30,38059.0
2024-06-05 03:00:00,2024-06-05,03:00,36672.0
2024-06-05 03:30:00,2024-06-05,03:30,35832.0
2024-06-05 04:00:00,2024-06-05,04:00,35131.0
2024-06-05 04:30:00,2024-06-05,04:30,34773.0
2024-06-05 05:00:00,2024-06-05,05:00,34724.0
2024-06-05 05:30:00,2024-06-05,05:30,35629.0
2024-06-05 06:00:00,2024-06-05,06:00,36429.0
2024-06-05 06:30:00,2024-06-05,06:30,38301.0
2024-06-05 07:00:00,2024-06-05,07:00,40230.0
2024-06-05 07:30:00,2024-06-05,07:30,42622.0
2024-06-05 08:00:00,2024-06-05,08:00,44383.0
2024-06-05 08:30:00,2024-06-05,08:30,46162.0
2024-06-05 09:00:00,2024-06-05,09:00,47157.0
2024-06-05 09:30:00,2024-06-05,09:30,47855.0
2024-06-05 10:00:00,2024-06-05,10:00,48254.0
2024-06-05 10:30:00,2024-06-05,10:30,48512.0
2024-06-05 11:00:00,2024-06-05,11:00,48801.0
2024-06-05 11:30:00,2024-06-05,11:30,49238.0
2024-06-05 12:00:00,2024-06-05,12:00,49901.0
2024-06-05 12:30:00,2024-06-05,12:30,50527.0
2024-06-05 13:00:00,2024-06-05,13:00,51131.0
2024-06-05 13:30:00,2024-06-05,13:30,50223.0
2024-06-05 14:00:00,2024-06-05,14:00,49445.0
2024-06-05 14:30:00,2024-06-05,14:30,49040.0
2024-06-05 15:00:00,2024-06-05,15:00,48194.0
2024-06-05 15:30:00,2024-06-05,15:30,47680.0
2024-06-05 16:00:00,2024-06-05,16:00,46898.0
