Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;RQROUL61S.AIR;LIAISON 225kV N0 1 ROQUEROUSSE - SALON-BEL-AIR;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ARVIGL61SENAR;LIAISON 225kV N0 1 ARVIGNY-SENART;EN EXPLOITATION;225kV;RTE;2;ARVIGL62SENAR;RES. LIAISON 225kV N0 2  ARVIGNY - SENART;;;;;;
AERIEN;TAVELL62VIRAD;LIAISON 225kV N0 2 TAVEL-VIRADEL;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ALBERL61CHAV6;LIAISON 225kV N0 1 ALBERTVILLE-CHAVANOD;EN EXPLOITATION;225kV;RTE;2;ALBERL61VEN.P;LIAISON 225kV N0 1 ALBERTVILLE - VENTHON-POSTE;;;;;;
AERIEN;HOLQUL61RUMIN;LIAISON 225kV N0 1 HOLQUE-RUMINGHEM;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;VLEVAL61ZAVRO;LIAISON 225kV N0 1 PLAISANCE - VILLEVAUDE - AVRON;EN EXPLOITATION;225kV;RTE;2;ROMAIL62VLEVA;LIAISON 225kV N0 2 ROMAINVILLE-VILLEVAUDE;;;;;;
AERIEN;GAVREL62VENDI;LIAISON 225kV N0 2 GAVRELLE-VENDIN;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ARNAGL62QUINT;LIAISON 225kV N0 2 ARNAGE-QUINTES (LES);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;RIGOTL61ZRIGO;LIAISON 225kV N0 1 PUSY - RIGOTTE (LA) - ROLAMPONT;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;AVELIL61CZRIE;LIAISON 225kV N0 1 AVELIN - COURRIERES;EN EXPLOITATION;225kV;RTE;2;AVELIL61VENDI;LIAISON 225kV N0 1 AVELIN-VENDIN;;;;;;
AERIEN;GROSNL71SSV.O;LIAISON 400kV N0 1 GROSNE - ST-VULBAS-OUEST;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;HOUDRL71LOGEL;LIAISON 400kV N0 1 HOUDREVILLE - LOGELBACH;EN EXPLOITATION;400kV;RTE;2;LOGELL71MUHLB;LIAISON 400kV N0 1 LOGELBACH - MUHLBACH;;;;;;
AERIEN;LESTAL61ZPLAC;LIAISON 225kV N0 1 DOUVRIN - LESTARQUIT - PLACHY (LE);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;REVIGL71VIGY;LIAISON 400kV N0 1 REVIGNY - VIGY;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;BAYETL61ZBILL;LIAISON 225kV N0 1 BAYET - BILLY - FONT (LA);EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BIANCL61P.GR5;LIAISON 225kV N0 1 BIANCON-PLAN-DE-GRASSE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CHAINL71VERGE;LIAISON 400kV N0 1 CHAINGY - VERGER;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CHAFFL73SSV.O;LIAISON 400kV N0 3 CHAFFARD (LE) - ST-VULBAS-OUEST;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;GROSNL61MACON;LIAISON 225kV N0 1 GROSNE-MACON;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;GRANZL72JUMEA;LIAISON 400kV N0 2 GRANZAY - JUMEAUX (LES);EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;NEMOUL61VLEMA;LIAISON 225kV N0 1 NEMOURS-VILLEMANDEUR;EN EXPLOITATION;225kV;RTE;2;VLEMAL61ZGLAC;LIAISON 225kV N0 1 GIEN - TABARDERIE - VILLEMANDEUR;;;;;;
AERIEN;VLEMAL61ZGLAC;LIAISON 225kV N0 1 GIEN - TABARDERIE - VILLEMANDEUR;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;CAZARL63LANNE;LIAISON 225kV N0 3 CAZARIL - LANNEMEZAN;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ELANCL61SSAU5;LIAISON 225kV N0 1 ELANCOURT - ST-AUBIN;EN EXPLOITATION;225kV;RTE;2;ELANCL61ZMTJ5;LIAISON 225kV N0 1 ELANCOURT - VILLEJUST - MONTJAY;;;;;;
AERIEN;BEZAUL71HOUDR;LIAISON 400kV N0 1 BEZAUMONT - HOUDREVILLE;EN EXPLOITATION;400kV;RTE;2;BEZAUL72HOUDR;LIAISON 400kV N0 2 BEZAUMONT - HOUDREVILLE;;;;;;
AERIEN;GOUVIL61P.GAS;LIAISON 225kV N0 1 GOUVIEUX - PLESSIS-GASSOT;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;GRAMOL61VERFE;LIAISON 225kV N0 1 GRAMONT - VERFEIL;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;AUBETL61ROGNA;LIAISON 225kV N0 1 AUBETTE-ROGNAC;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;COR.PL72MARTY;LIAISON 400kV N0 2 CORDEMAIS-POSTE - MARTYRE (LA);EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CALA5L71MARTY;LIAISON 400kV N0 1 CALAN - MARTYRE (LA);EN EXPLOITATION;400kV;RTE;2;COR.PL72MARTY;LIAISON 400kV N0 2 CORDEMAIS-POSTE - MARTYRE (LA);;;;;;
AERIEN;G.CAIL63MASTA;LIAISON 225kV N0 3 GROS-CAILLOU - MASTAING;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;B.CARL72BIANC;LIAISON 400kV N0 2 BROC-CARROS - BIANCON;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;CHESNL62CZTRY;LIAISON 225kV N0 2 CHESNOY (LE)-COURTRY;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ZCARRL61ZSEMO;LIAISON 225kV N0 1 CARRES(LES) - DAMBRON - TIVERNON - VILLEJUST;EN EXPLOITATION;225kV;RTE;2;DAMBRL62ZCAR6;LIAISON 225kV N0 2 CARRES(LES) - DAMBRON - VILLEJUST;;;;;;
AERIEN;ROBI5L61ZV.BR;LIAISON 225kV N0 1 ROBINSON - VILLEJUST  - ULIS (LES);EN EXPLOITATION;225kV;RTE;4;VLEJUL61VLERA;LIAISON 225kV N0 1 VILLEJUST-VILLERAS;MOUL8L62VLEJU;LIAISON 225kV N0 2 MOULINEAUX - VILLEJUST;PALA5L31SSAU5;LIAISON 63kV N0 1 PALAISEAU-ST-AUBIN;;
AERIEN;ARRIGL61CHEVI;LIAISON 225kV N0 1 ARRIGHI-CHEVILLY;EN EXPLOITATION;225kV;RTE;2;CHEVIL61V.GEO;LIAISON 225kV N0 1 CHEVILLY - VILLENEUVE-ST-GEORGES;;;;;;
AERIEN;TAVELL72TRI.P;LIAISON 400kV N0 2 TAVEL - TRICASTIN-POSTE (LE);EN EXPLOITATION;400kV;RTE;1;;;;;;;;
