Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
SOUTERRAIN;GALORL61MAUGE;LIAISON 225kV N0 1 GALOREAUX (LES)-MAUGES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;AIRVAL61BONN6;LIAISON 225kV N0 1 AIRVAULT-BONNEAU;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BERT5L61CRETA;LIAISON 225kV N0 1 BERTHOLLET-CRETAINE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CPNIEL61PARIS;LIAISON 225kV N0 1 CHAMPAGNIER-PARISET;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHESNL61VOULZ;LIAISON 225kV N0 1 CHESNOY (LE)-VOULZIE (LA);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CPNIEL61ZSABL;LIAISON 225kV N0 1 CHAMPAGNIER - CORDEAC - SABLES (LES);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;MEYZIL61MIONS;LIAISON 225kV N0 1 MEYZIEU - MIONS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;ROMAIL62VLEVA;LIAISON 225kV N0 2 ROMAINVILLE-VILLEVAUDE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SSAU5L61VERSA;LIAISON 225kV N0 1 ST-AUBIN-VERSAILLES;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CHESNL66MTERE;LIAISON 225kV N0 6 CHESNOY (LE) - MONTEREAU;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;NOISYL62ROMAI;LIAISON 225kV N0 2 NOISY - ROMAINVILLE 2 (SNCF);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;BOISSL62MIONS;LIAISON 225kV N0 2 BOISSE (LA) - MIONS;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CALA5L61P.ROU;LIAISON 225kV N0 1 CALAN-POTEAU-ROUGE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;Q.SEIL61SAUMA;LIAISON 225kV N0 1 QUATRE SEIGNEURS - SAUMADE;EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;SEINEL63SSOU5;LIAISON 225kV N0 3 SEINE - ST-OUEN (POSTE);EN EXPLOITATION;225kV;1;;;;;;;;
SOUTERRAIN;CONF5L61PARIS;LIAISON 225kV N0 1 CONFLUENT - PARISET;EN EXPLOITATION;225kV;1;;;;;;;;
